	AveExpr	Coef.organs	Coef.stages	t.organs	t.stages	P.value.organs	P.value.stages	F	F.p.value
novel_gene_3840_5bd9a17a	3.38682416504414	0.501485367311245	-0.0271053249560396	1.43544747822396	-0.0775860531349055	0.173535437244442	0.939276016240873	1.03326452919028	0.381914665532344
novel_gene_3841_5bd9a17a	4.51073287749457	-0.13904242416189	-0.220389813364531	-0.319657745894764	-0.506674933085516	0.754037121124845	0.620417256293948	0.179450281163867	0.837657257709186
novel_gene_3843_5bd9a17a	1.97279170360247	0.0591973575132934	0.698716762599706	0.131496689099391	1.55207841632921	0.89728874213715	0.143370633186904	1.21311939483954	0.327213257198059
novel_gene_3844_5bd9a17a	3.71026546576333	0.410008784350745	0.05188573326001	0.962579184874045	0.121812333623778	0.352396928986584	0.90481151564045	0.470698465887826	0.634275508917675
novel_gene_3845_5bd9a17a_novel_gene_3846_5bd9a17a	1.15103133446851	0.235500861481221	0.778643094491713	0.457797714416	1.51362940569341	0.654254652756808	0.152782601476097	1.25032636255215	0.317050953912095
novel_gene_3847_5bd9a17a	2.81013434440045	-0.218682724504731	1.0587668731175	-0.143087053145176	0.692765430763773	0.888298935582723	0.500000914625814	0.250198923419543	0.782117787147777
novel_gene_385_5bd9a17a	1.06402752381298	-0.551429954976136	0.567988987006157	-0.697183587274385	0.718119492638795	0.497317404856046	0.484717954109705	0.500880280036291	0.616645997940469
novel_gene_3850_5bd9a17a	4.39366489295252	0.393209600653293	-0.0346232615061872	1.70744564657749	-0.150345609646442	0.110227375211582	0.882677043991272	1.46898721917819	0.264151147674976
novel_gene_3851_5bd9a17a	1.62767038571405	0.939156293749812	1.75226308192951	1.0392331618989	1.93898493278631	0.31664216145486	0.0733240709562886	2.41983406718135	0.125804797477714
novel_gene_3852_5bd9a17a	3.38491562169962	-0.0754095556508132	0.217732111221177	-0.150416744156747	0.434302456573499	0.882621980935604	0.670812342092533	0.105621910354246	0.900488325248417
novel_gene_3853_5bd9a17a	3.83972187629348	0.598156418080896	1.67379721949698	0.979918072893316	2.74206561388404	0.344069119169079	0.01611208389579	4.2395816302141	0.0368125021933288
novel_gene_3856_5bd9a17a	1.47339529553468	-0.509987497729714	0.268451175585546	-0.872732120993443	0.459395504585732	0.397806942004252	0.653135364352376	0.486352792323646	0.625060609398063
novel_gene_3858_5bd9a17a	3.24845370697558	0.175775631308504	-0.787346550573473	0.439242221262227	-1.96748460069569	0.667315992903272	0.0696544035384597	2.03196469145702	0.168631668311099
novel_gene_3859_5bd9a17a	4.2949526998437	-0.416623512798949	0.174913868114266	-0.942692219895785	0.395776852620335	0.362122012196607	0.698347783213138	0.52265396926105	0.604276070464544
novel_gene_3860_5bd9a17a	5.11383157389112	-0.142931181143176	-0.540875447185735	-0.541384449574108	-2.04868912382019	0.596913507617349	0.0600992310483551	2.24511212414991	0.143332473934632
novel_gene_3861_5bd9a17a	5.31316285037726	-0.346884403575694	0.569417565461705	-0.859546449233203	1.41096238827244	0.404789091473595	0.180498665143765	1.36481747975444	0.287976539657035
novel_gene_3863_5bd9a17a	5.06440072848459	0.331963912788463	0.0135640688434093	1.22807459933959	0.0501792145729383	0.240044563801639	0.960701846433317	0.755342587559121	0.488397473952129
novel_gene_3864_5bd9a17a	3.95966769795756	-0.408805195959288	-0.169665836548985	-1.29763204425359	-0.538554373812266	0.21578049036672	0.59881297066924	0.986944867913036	0.397652585371707
novel_gene_3865_5bd9a17a	4.8563910007328	0.523457672743985	-0.196365802822429	1.87723826405453	-0.704212428251749	0.0818834098129413	0.493065843895833	2.00996932206734	0.171522073489888
novel_gene_3866_5bd9a17a	1.84627441410831	-0.0834294721596972	0.355483023996418	-0.184342464082655	0.785461239136422	0.856438250115335	0.445519134860546	0.325465751124894	0.727609828801346
novel_gene_3867_5bd9a17a	3.48323906123631	-1.38781758243076	1.67584552151195	-4.04578406423176	4.88544689942022	0.00124733991804799	0.000254112717945151	20.1179800507232	8.28018778076931e-05
novel_gene_3868_5bd9a17a	1.47914739378596	0.214340376770209	0.165232037524992	0.310690351856066	0.239506903226035	0.760699840620035	0.81424898769645	0.0769460257146856	0.92633601629471
novel_gene_3869_5bd9a17a	0.540981141419567	-0.368230248129901	0.0202175539767513	-0.720592181218311	0.0395638636233567	0.483242652416775	0.969010046190145	0.260409195468886	0.774456097624666
novel_gene_3870_5bd9a17a	2.3650309738574	0.283821569211747	-0.345201986320591	0.629447226785311	-0.765574066741097	0.539383730952769	0.45688205498279	0.49115373148711	0.622265341227572
novel_gene_3871_5bd9a17a	0.709366000205754	-0.481012585309525	-0.811142043222947	-1.03519279623845	-1.74566825383623	0.318458426365767	0.103181542297058	2.05949088891781	0.165092732000374
novel_gene_3874_5bd9a17a	0.593626906460507	-0.291363580121679	-0.169749752982454	-0.439329760376351	-0.255955525637699	0.667254105092017	0.801777916819723	0.129261934728406	0.879799943899251
novel_gene_3877_5bd9a17a	1.30978908781471	-0.827202702067084	-0.0996810060490665	-1.53616772231843	-0.185113931129768	0.147203861852087	0.855844748975031	1.19703921929566	0.331720341805404
novel_gene_3878_5bd9a17a	4.88874207838474	-0.626023627506546	0.154428763520811	-2.16834895755578	0.534892668078215	0.0482039560386013	0.601275114803741	2.49392368404854	0.119123459465314
novel_gene_3879_5bd9a17a	5.52176484581106	-0.00887915415491047	0.265854405383088	-0.0366482739795257	1.0973010398468	0.971292656365153	0.291371455488197	0.602706334017273	0.561178590770168
